Filename,Language
segments/korean_hobby_1_chunk_1.wav,English
segments/korean_hobby_1_chunk_2.wav,English
segments/korean_hobby_1_chunk_3.wav,English
segments/korean_hobby_1_chunk_4.wav,Korean
segments/korean_hobby_2_chunk_1.wav,English
segments/korean_hobby_2_chunk_2.wav,English
segments/korean_hobby_2_chunk_3.wav,English
segments/korean_hobby_2_chunk_4.wav,Korean
segments/korean_hobby_3_chunk_1.wav,English
segments/korean_hobby_3_chunk_2.wav,English
segments/korean_hobby_3_chunk_3.wav,English
segments/korean_hobby_3_chunk_4.wav,Korean
segments/korean_hobby_4_chunk_1.wav,English
segments/korean_hobby_4_chunk_2.wav,English
segments/korean_hobby_4_chunk_3.wav,English
segments/korean_hobby_4_chunk_4.wav,Korean
segments/korean_hobby_5_chunk_1.wav,English
segments/korean_hobby_5_chunk_2.wav,English
segments/korean_hobby_5_chunk_3.wav,English
segments/korean_hobby_5_chunk_4.wav,Korean
segments/korean_hobby_5_chunk_5.wav,Korean
segments/korean_hobby_6_chunk_1.wav,English
segments/korean_hobby_6_chunk_2.wav,English
segments/korean_hobby_6_chunk_3.wav,English
segments/korean_hobby_6_chunk_4.wav,Korean
segments/korean_hobby_6_chunk_5.wav,Korean
segments/korean_hobby_7_chunk_1.wav,English
segments/korean_hobby_7_chunk_2.wav,English
segments/korean_hobby_7_chunk_3.wav,English
segments/korean_hobby_7_chunk_4.wav,Korean
segments/korean_hobby_8_chunk_1.wav,English
segments/korean_hobby_8_chunk_2.wav,English
segments/korean_hobby_8_chunk_3.wav,English
segments/korean_hobby_8_chunk_4.wav,Korean
segments/korean_hobby_9_chunk_1.wav,English
segments/korean_hobby_9_chunk_2.wav,English
segments/korean_hobby_9_chunk_3.wav,English
segments/korean_hobby_9_chunk_4.wav,Korean
segments/korean_hobby_10_chunk_1.wav,English
segments/korean_hobby_10_chunk_2.wav,English
segments/korean_hobby_10_chunk_3.wav,English
segments/korean_hobby_10_chunk_4.wav,Korean
segments/korean_hobby_11_chunk_1.wav,English
segments/korean_hobby_11_chunk_2.wav,English
segments/korean_hobby_11_chunk_3.wav,English
segments/korean_hobby_11_chunk_4.wav,Korean
segments/korean_hobby_12_chunk_1.wav,English
segments/korean_hobby_12_chunk_2.wav,English
segments/korean_hobby_12_chunk_3.wav,English
segments/korean_hobby_12_chunk_4.wav,Korean
segments/korean_hobby_13_chunk_1.wav,English
segments/korean_hobby_13_chunk_2.wav,English
segments/korean_hobby_13_chunk_3.wav,English
segments/korean_hobby_13_chunk_4.wav,Korean
segments/korean_hobby_14_chunk_1.wav,English
segments/korean_hobby_14_chunk_2.wav,English
segments/korean_hobby_14_chunk_3.wav,English
segments/korean_hobby_14_chunk_4.wav,Korean
segments/korean_hobby_15_chunk_1.wav,English
segments/korean_hobby_15_chunk_2.wav,English
segments/korean_hobby_15_chunk_3.wav,English
segments/korean_hobby_15_chunk_4.wav,Korean
segments/korean_hobby_15_chunk_5.wav,Korean
segments/korean_hobby_16_chunk_1.wav,English
segments/korean_hobby_16_chunk_2.wav,English
segments/korean_hobby_16_chunk_3.wav,English
segments/korean_hobby_16_chunk_4.wav,Korean
segments/korean_hobby_17_chunk_1.wav,English
segments/korean_hobby_17_chunk_2.wav,English
